TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
56623.000000,0.989,-0.015,-0.170,0.03,-0.06,-0.00,-41.29,-0.04,-25.33,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56633.000000,0.989,-0.015,-0.175,-0.09,0.12,-0.06,-41.17,-0.31,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56643.000000,0.988,-0.016,-0.175,0.07,0.12,-0.10,-41.35,-0.17,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56653.000000,0.989,-0.015,-0.170,0.13,0.18,-0.00,-41.35,-0.17,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56663.000000,0.989,-0.015,-0.172,-0.03,0.06,-0.04,-42.04,0.54,-25.08,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56673.000000,0.990,-0.015,-0.174,0.05,0.14,0.02,-42.13,0.81,-25.04,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56683.000000,0.990,-0.013,-0.176,0.05,0.08,0.06,-41.85,0.39,-24.75,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56693.000000,0.988,-0.013,-0.172,0.01,0.21,0.02,-41.93,0.85,-25.29,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56703.000000,0.989,-0.013,-0.175,-0.03,-0.04,-0.10,-41.93,0.85,-25.29,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56713.000000,0.989,-0.013,-0.171,0.17,0.12,0.04,-42.27,0.08,-25.21,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56723.000000,0.989,-0.013,-0.172,0.11,0.02,-0.08,-41.85,0.04,-25.13,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56733.000000,0.988,-0.015,-0.172,-0.01,0.08,-0.06,-41.93,-0.13,-25.46,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56743.000000,0.989,-0.015,-0.172,0.01,0.02,-0.06,-42.17,0.00,-25.33,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56753.000000,0.988,-0.015,-0.171,0.05,-0.04,-0.04,-42.17,0.00,-25.33,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56763.000000,0.986,-0.013,-0.175,0.15,0.02,0.06,-41.98,0.39,-25.04,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56773.000000,0.989,-0.016,-0.170,0.07,0.10,-0.02,-42.08,-0.27,-25.04,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56783.000000,0.989,-0.017,-0.175,0.13,0.08,-0.02,-42.35,0.21,-25.17,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56793.000000,0.992,-0.015,-0.175,0.05,0.02,-0.00,-42.35,0.21,-25.17,-99.89,-0.81,97.13,0.422,0.571,-0.510,0.486
56803.000000,0.990,-0.013,-0.175,-0.01,0.14,-0.04,-42.35,0.21,-25.17,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56813.000000,0.992,-0.015,-0.175,0.03,0.04,0.02,-41.63,0.21,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56823.000000,0.988,-0.013,-0.174,-0.03,0.08,-0.02,-41.63,0.21,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56833.000000,0.988,-0.012,-0.177,0.03,0.18,-0.02,-41.63,0.21,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56843.000000,0.988,-0.015,-0.175,0.11,-0.12,0.08,-41.52,0.35,-25.50,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56853.000000,0.986,-0.016,-0.172,-0.03,-0.06,-0.02,-41.58,0.77,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56863.000000,0.990,-0.015,-0.171,-0.05,-0.04,-0.08,-42.31,1.13,-25.42,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56873.000000,0.989,-0.015,-0.172,-0.03,0.10,-0.06,-42.39,0.63,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56883.000000,0.986,-0.016,-0.175,0.13,-0.12,0.02,-42.31,0.31,-25.08,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56893.000000,0.989,-0.012,-0.175,0.11,0.10,0.04,-42.54,0.31,-25.00,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56903.000000,0.992,-0.015,-0.174,0.03,0.14,-0.08,-42.43,0.77,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56913.000000,0.990,-0.013,-0.167,-0.03,0.04,-0.06,-42.31,0.63,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
