seq,orientation,angular velocity,linear acceleration,secs,nsecs
1105322,"(0.01487432885915041, -0.1901901364326477, -0.8961833119392395, 0.40057623386383057)","(-0.0032956632785499096, -0.0016145420959219337, -0.004960139747709036)","(0.07446899414062501, -0.0336456298828125, 0.0817962646484375)",1624955781,116764783
1105323,"(0.014857877977192402, -0.19020986557006836, -0.8961786031723022, 0.40057796239852905)","(0.005226456094533205, 0.0053096795454621315, 0.008355671539902687)","(0.11708679199218751, 0.05233764648437501, -0.037683105468750006)",1624955781,121765613
1105324,"(0.014852480962872505, -0.1902139037847519, -0.8961775302886963, 0.40057867765426636)","(-0.002763030817732215, -0.002679806901142001, -0.0012317125219851732)","(0.016448974609375, 0.013906860351562501, 0.019738769531250002)",1624955781,126923799
1105325,"(0.014844204299151897, -0.1902061402797699, -0.8961784243583679, 0.4005807042121887)","(0.0004327638598624617, -0.0005492772324942052, -0.0017643449828028679)","(0.030654907226562503, -0.0288604736328125, 0.0770111083984375)",1624955781,131772518
1105326,"(0.01485363394021988, -0.19019588828086853, -0.8961809277534485, 0.40057963132858276)","(0.007889618165791035, -0.002679806901142001, -0.006558036897331476)","(-0.055178833007812504, 0.009420776367187501, 0.11050720214843751)",1624955781,136765003
1105327,"(0.014833786524832249, -0.19019372761249542, -0.8961800336837769, 0.400583416223526)","(-0.013948312029242516, 0.00903810653835535, -0.0028296099044382572)","(0.09764709472656251, -0.028561401367187503, 0.0674407958984375)",1624955781,141772270
1105328,"(0.014839638955891132, -0.19014635682106018, -0.8961890339851379, 0.40058544278144836)","(-0.001165133435279131, 0.00584231223911047, 0.0019640822429209948)","(-0.112451171875, -0.161798095703125, 0.18662109375000002)",1624955781,146836996
1105329,"(0.014833884313702583, -0.19012019038200378, -0.8961934447288513, 0.40058818459510803)","(-0.011285149492323399, -0.001081909635104239, -0.009221198968589306)","(-0.0213836669921875, -0.11349792480468751, 0.0907684326171875)",1624955781,151848793
1105330,"(0.01480086985975504, -0.1899855136871338, -0.896236002445221, 0.4005582332611084)","(-0.03205781430006027, -0.0021471744403243065, -0.018275950103998184)","(-0.1117034912109375, -0.345428466796875, 0.12321777343750001)",1624955781,156797885
1105331,"(0.014783427119255066, -0.18994823098182678, -0.8962756991386414, 0.40048760175704956)","(-0.018209371715784073, -0.006940866354852915, -0.034787558019161224)","(0.017645263671875, 0.028411865234375003, 0.170770263671875)",1624955781,161962747
1105332,"(0.014832057990133762, -0.1902526319026947, -0.8962392807006836, 0.40042293071746826)","(0.04570652171969414, -0.010669293813407421, -0.006558036897331476)","(-0.012261962890625, -0.0345428466796875, -0.20486450195312503)",1624955781,166765928
1105333,"(0.014848148450255394, -0.19026821851730347, -0.8962374329566956, 0.4004189670085907)","(0.005226456094533205, -0.0016145420959219337, 0.005692509468644857)","(-0.0695343017578125, 0.041571044921875, -0.19529418945312502)",1624955781,171723604
1105334,"(0.014838979579508305, -0.19021223485469818, -0.8962430953979492, 0.4004332721233368)","(-0.03259044885635376, 0.00903810653835535, 0.005692509468644857)","(0.002392578125, 0.0569732666015625, -0.09989013671875001)",1624955781,176844358
1105335,"(0.014819220639765263, -0.19011199474334717, -0.8962538242340088, 0.4004576504230499)","(-0.048036787658929825, 0.01756022684276104, 0.007290406618267298)","(0.0650482177734375, 0.0348419189453125, -0.0001495361328125)",1624955781,192058563
1105336,"(0.014819220639765263, -0.19011199474334717, -0.8962538242340088, 0.4004576504230499)","(-0.048036787658929825, 0.01756022684276104, 0.007290406618267298)","(0.0650482177734375, 0.0348419189453125, -0.0001495361328125)",1624955781,192438602
1105337,"(0.014819220639765263, -0.19011199474334717, -0.8962538242340088, 0.4004576504230499)","(-0.048036787658929825, 0.01756022684276104, 0.007290406618267298)","(0.0650482177734375, 0.0348419189453125, -0.0001495361328125)",1624955781,194537878
1105338,"(0.014841938391327858, -0.19010278582572937, -0.8962576389312744, 0.40045255422592163)","(0.03452124074101448, -0.010669293813407421, -0.0006990800611674786)","(-0.101983642578125, -0.022579956054687503, 0.10975952148437501)",1624955781,197144746
1105339,"(0.014845723286271095, -0.19011209905147552, -0.8962562084197998, 0.4004512429237366)","(0.011618045158684254, -0.002679806901142001, 0.006225141696631908)","(-0.006280517578125, 0.034692382812500006, -0.05757141113281251)",1624955781,201797485
1105340,"(0.014832660555839539, -0.1901245415210724, -0.8962530493736267, 0.4004528224468231)","(-0.005426193121820688, 0.002646517474204302, -0.00016644764400552958)","(0.09390869140625001, 0.048898315429687506, 0.0333465576171875)",1624955781,207147121
1105341,"(0.014832444489002228, -0.19002997875213623, -0.8962720632553101, 0.40045517683029175)","(-0.03205781430006027, 0.007972842082381248, -0.0006990800611674786)","(-0.0919647216796875, -0.035589599609375, 0.16194763183593752)",1624955781,211983680
1105342,"(0.014808829873800278, -0.1899539977312088, -0.8962807655334473, 0.40047261118888855)","(-0.033655714243650436, 0.006907577160745859, 0.006225141696631908)","(0.037234497070312504, 0.037683105468750006, 0.17091979980468752)",1624955781,216886758
1105343,"(0.014568425714969635, -0.18986447155475616, -0.8963119387626648, 0.40045422315597534)","(-0.14657379686832428, -0.06499779969453812, 0.008888304233551025)","(0.11035766601562501, 0.49077758789062503, -0.7965789794921876)",1624955781,222084283
